,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
61,timik1q2009,AND,30,0.4,3,98.64834203105248,30.000648277203336,98.06904216156144,vote_rank_mln
62,arxiv,AND,30,0.5,3,70.20263064344117,30.00355492356914,57.43016759776536,vote_rank_mln
63,timik1q2009,AND,30,0.5,3,96.53171696217302,30.000648277203336,95.04526405964204,vote_rank_mln
64,arxiv,AND,30,0.6,3,69.13615357269819,30.00355492356914,55.906551549009656,vote_rank_mln
65,timik1q2009,AND,30,0.6,3,96.53171696217302,30.000648277203336,95.04526405964204,vote_rank_mln
66,arxiv,AND,30,0.7,5,51.40419480981159,30.00355492356914,30.573895378364647,vote_rank_mln
67,timik1q2009,AND,30,0.7,3,94.6987131697514,30.000648277203336,92.4266629621912,vote_rank_mln
68,arxiv,AND,30,0.8,4,45.154639175257735,30.00355492356914,21.645505332656175,vote_rank_mln
69,timik1q2009,AND,30,0.8,4,91.80739684289,30.000648277203336,88.29617281378064,vote_rank_mln
70,arxiv,AND,30,0.9,2,44.33700675435478,30.00355492356914,20.477399695276794,vote_rank_mln
71,timik1q2009,AND,30,0.9,4,87.70542283880587,30.000648277203336,82.4361556805816,vote_rank_mln
72,arxiv,AND,31,0.1,2,92.05830074653394,31.006043370067545,88.48928276999176,vote_rank_mln
73,timik1q2009,AND,31,0.1,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
74,arxiv,AND,31,0.2,2,91.56772129399218,31.006043370067545,87.77823577906018,vote_rank_mln
75,timik1q2009,AND,31,0.2,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
76,arxiv,AND,31,0.3,2,91.32598649129044,31.006043370067545,87.42786479802143,vote_rank_mln
77,timik1q2009,AND,31,0.3,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
78,arxiv,AND,31,0.4,3,90.72875933167435,31.006043370067545,86.56224237427865,vote_rank_mln
79,timik1q2009,AND,31,0.4,3,99.05027389711842,31.000615863343167,98.62357307276744,vote_rank_mln
80,arxiv,AND,31,0.5,3,72.41379310344827,31.006043370067545,60.01648804616652,vote_rank_mln
81,timik1q2009,AND,31,0.5,3,97.42309811675472,31.000615863343167,96.26532625546108,vote_rank_mln
82,arxiv,AND,31,0.6,3,71.38286526839673,31.006043370067545,58.52225886232481,vote_rank_mln
83,timik1q2009,AND,31,0.6,3,97.42309811675472,31.000615863343167,96.26532625546108,vote_rank_mln
84,arxiv,AND,31,0.7,5,54.19125488801991,31.006043370067545,33.604699093157464,vote_rank_mln
85,timik1q2009,AND,31,0.7,3,95.94016401413243,31.000615863343167,94.11612721379248,vote_rank_mln
86,arxiv,AND,31,0.8,4,46.56238890863846,31.006043370067545,22.547403132728764,vote_rank_mln
87,timik1q2009,AND,31,0.8,4,93.4135036141454,31.000615863343167,90.454267863015,vote_rank_mln
88,arxiv,AND,31,0.9,2,45.7518663348738,31.006043370067545,21.372629843363555,vote_rank_mln
89,timik1q2009,AND,31,0.9,4,89.63080613270235,31.000615863343167,84.97204866820125,vote_rank_mln
90,arxiv,AND,32,0.1,2,92.10806967650196,32.00142196942765,88.3939774153074,vote_rank_mln
91,timik1q2009,AND,32,0.1,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
92,arxiv,AND,32,0.2,2,91.6174902239602,32.00142196942765,87.67252195734004,vote_rank_mln
93,timik1q2009,AND,32,0.2,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
94,arxiv,AND,32,0.3,2,91.37575542125845,32.00142196942765,87.31702216645755,vote_rank_mln
95,timik1q2009,AND,32,0.3,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
96,arxiv,AND,32,0.4,3,90.79985780305724,32.00142196942765,86.47009619406107,vote_rank_mln
97,timik1q2009,AND,32,0.4,3,99.77634436485042,32.000583449483,99.67109183211385,vote_rank_mln
98,arxiv,AND,32,0.5,3,75.10131532172059,32.00142196942765,63.38352153910499,vote_rank_mln
99,timik1q2009,AND,32,0.5,3,98.71641113740236,32.000583449483,98.1123531234359,vote_rank_mln
100,arxiv,AND,32,0.6,3,74.09882687522217,32.00142196942765,61.90924299456293,vote_rank_mln
101,timik1q2009,AND,32,0.6,3,98.71641113740236,32.000583449483,98.1123531234359,vote_rank_mln
102,arxiv,AND,32,0.7,5,57.09918236757909,32.00142196942765,36.90924299456294,vote_rank_mln
103,timik1q2009,AND,32,0.7,3,97.49440860912128,32.000583449483,96.31527516266657,vote_rank_mln
104,arxiv,AND,32,0.8,4,47.763953075008885,32.00142196942765,23.18067754077792,vote_rank_mln
105,timik1q2009,AND,32,0.8,4,95.2059900813588,32.000583449483,92.94992492313558,vote_rank_mln
106,arxiv,AND,32,0.9,2,46.95343050124423,32.00142196942765,21.98870765370139,vote_rank_mln
107,timik1q2009,AND,32,0.9,4,91.61291368189038,32.000583449483,87.66594370426866,vote_rank_mln
108,arxiv,AND,33,0.1,2,92.90437255599004,33.00391041592606,89.40889313382151,vote_rank_mln
109,timik1q2009,AND,33,0.1,3,99.85737901526691,33.000551035622834,99.78713110788584,vote_rank_mln
110,arxiv,AND,33,0.2,2,92.41379310344828,33.00391041592606,88.67664225830414,vote_rank_mln
111,timik1q2009,AND,33,0.2,3,99.85737901526691,33.000551035622834,99.78713110788584,vote_rank_mln
112,arxiv,AND,33,0.3,2,92.17205830074651,33.00391041592606,88.31582298631008,vote_rank_mln
113,timik1q2009,AND,33,0.3,3,99.85737901526691,33.000551035622834,99.78713110788584,vote_rank_mln
114,arxiv,AND,33,0.4,2,91.6174902239602,33.00391041592606,87.48806112702961,vote_rank_mln
115,timik1q2009,AND,33,0.4,3,99.85413762925027,33.000551035622834,99.7822931785196,vote_rank_mln
116,arxiv,AND,33,0.5,3,76.65126199786705,33.00391041592606,65.14910325798579,vote_rank_mln
117,timik1q2009,AND,33,0.5,3,99.19127418884317,33.000551035622834,98.7929366231253,vote_rank_mln
118,arxiv,AND,33,0.6,3,75.55634553857092,33.00391041592606,63.51480420248329,vote_rank_mln
119,timik1q2009,AND,33,0.6,3,99.19127418884317,33.000551035622834,98.7929366231253,vote_rank_mln
120,arxiv,AND,33,0.7,5,59.16103803768219,33.00391041592606,39.042767696062825,vote_rank_mln
121,timik1q2009,AND,33,0.7,3,98.33878966646138,33.000551035622834,97.5205611998065,vote_rank_mln
122,arxiv,AND,33,0.8,5,49.8186988979737,33.00391041592606,25.098164066645445,vote_rank_mln
123,timik1q2009,AND,33,0.8,4,96.49930310200642,33.000551035622834,94.77503628447025,vote_rank_mln
124,arxiv,AND,33,0.9,2,48.9228581585496,33.00391041592606,23.761010293961583,vote_rank_mln
125,timik1q2009,AND,33,0.9,4,93.40540014910376,33.000551035622834,90.15723270440252,vote_rank_mln
126,arxiv,AND,34,0.1,2,94.76715250622112,34.00639886242446,92.0706744236156,vote_rank_mln
127,timik1q2009,AND,34,0.1,3,99.90924119153352,34.000518621762666,99.86248557326329,vote_rank_mln
128,arxiv,AND,34,0.2,2,94.27657305367934,34.00639886242446,91.32730015082956,vote_rank_mln
129,timik1q2009,AND,34,0.2,3,99.90924119153352,34.000518621762666,99.86248557326329,vote_rank_mln
130,arxiv,AND,34,0.3,2,94.0348382509776,34.00639886242446,90.9609997845292,vote_rank_mln
131,timik1q2009,AND,34,0.3,3,99.90924119153352,34.000518621762666,99.86248557326329,vote_rank_mln
132,arxiv,AND,34,0.4,2,93.48027017419126,34.00639886242446,90.1206636500754,vote_rank_mln
133,timik1q2009,AND,34,0.4,3,99.90762049852518,34.000518621762666,99.86002995850012,vote_rank_mln
134,arxiv,AND,34,0.5,3,78.59936011375756,34.00639886242446,67.57164404223228,vote_rank_mln
135,timik1q2009,AND,34,0.5,3,99.66289585426728,34.000518621762666,99.48923212926356,vote_rank_mln
136,arxiv,AND,34,0.6,3,77.50444365446143,34.00639886242446,65.91251885369532,vote_rank_mln
137,timik1q2009,AND,34,0.6,3,99.66289585426728,34.000518621762666,99.48923212926356,vote_rank_mln
138,arxiv,AND,34,0.7,5,61.137575542125845,34.00639886242446,41.11182934712346,vote_rank_mln
139,timik1q2009,AND,34,0.7,3,99.1831707238015,34.000518621762666,98.7623701593694,vote_rank_mln
140,arxiv,AND,34,0.8,5,51.82367579097049,34.00639886242446,26.99849170437405,vote_rank_mln
141,timik1q2009,AND,34,0.8,3,97.76020226248744,34.000518621762666,96.60634039731846,vote_rank_mln
142,arxiv,AND,34,0.9,2,50.92783505154639,34.00639886242446,25.64102564102563,vote_rank_mln
143,timik1q2009,AND,34,0.9,4,95.14440374704223,34.000518621762666,92.64297816958477,vote_rank_mln
144,arxiv,AND,35,0.1,2,96.60149306789904,35.00177746178457,94.77138481732662,vote_rank_mln
145,timik1q2009,AND,35,0.1,3,99.9351722796668,35.0004862079025,99.90026429960604,vote_rank_mln
146,arxiv,AND,35,0.2,2,96.11091361535728,35.00177746178457,94.0166265587399,vote_rank_mln
147,timik1q2009,AND,35,0.2,3,99.9351722796668,35.0004862079025,99.90026429960604,vote_rank_mln
148,arxiv,AND,35,0.3,2,95.86917881265552,35.00177746178457,93.6447166921899,vote_rank_mln
149,timik1q2009,AND,35,0.3,3,99.9351722796668,35.0004862079025,99.90026429960604,vote_rank_mln
150,arxiv,AND,35,0.4,2,95.31461073586918,35.00177746178457,92.79151170422227,vote_rank_mln
151,timik1q2009,AND,35,0.4,3,99.93355158665844,35.0004862079025,99.8977709070962,vote_rank_mln
152,arxiv,AND,35,0.5,3,80.57589761820121,35.00177746178457,70.1159483701597,vote_rank_mln
