,network,protocol,seeding_budget,mi_value,diffusion_len,activated_prct_actors
1873,lazega,AND,2.68,0.8,1,2.8169014084507045
1874,er2,AND,2.68,0.8,1,2.7
1875,er3,AND,2.68,0.8,1,2.7
1876,er5,AND,2.68,0.8,1,2.7
1877,sf2,AND,2.68,0.8,1,2.7
1878,sf3,AND,2.68,0.8,1,2.7
1879,sf5,AND,2.68,0.8,1,2.7
1880,aucs,AND,2.68,0.9,1,3.278688524590164
1881,ckm_physicians,AND,2.68,0.9,1,2.904564315352697
1882,eu_transportation,AND,2.68,0.9,2,6.235011990407674
1883,lazega,AND,2.68,0.9,1,2.8169014084507045
1884,er2,AND,2.68,0.9,1,2.7
1885,er3,AND,2.68,0.9,1,2.7
1886,er5,AND,2.68,0.9,1,2.7
1887,sf2,AND,2.68,0.9,1,2.7
1888,sf3,AND,2.68,0.9,1,2.7
1889,sf5,AND,2.68,0.9,1,2.7
1890,aucs,AND,2.68,1.0,1,3.278688524590164
1891,ckm_physicians,AND,2.68,1.0,1,2.904564315352697
1892,eu_transportation,AND,2.68,1.0,1,2.877697841726619
1893,lazega,AND,2.68,1.0,1,2.8169014084507045
1894,er2,AND,2.68,1.0,1,2.7
1895,er3,AND,2.68,1.0,1,2.7
1896,er5,AND,2.68,1.0,1,2.7
1897,sf2,AND,2.68,1.0,1,2.7
1898,sf3,AND,2.68,1.0,1,2.7
1899,sf5,AND,2.68,1.0,1,2.7
1900,aucs,AND,3.73,0.1,6,63.934426229508205
1901,ckm_physicians,AND,3.73,0.1,9,82.15767634854771
1902,eu_transportation,AND,3.73,0.1,8,31.894484412470025
1903,lazega,AND,3.73,0.1,6,100.0
1904,er2,AND,3.73,0.1,6,99.4
1905,er3,AND,3.73,0.1,9,96.5
1906,er5,AND,3.73,0.1,11,97.6
1907,sf2,AND,3.73,0.1,5,62.6
1908,sf3,AND,3.73,0.1,8,24.8
1909,sf5,AND,3.73,0.1,12,26.400000000000002
1910,aucs,AND,3.73,0.2,1,4.918032786885246
1911,ckm_physicians,AND,3.73,0.2,11,39.41908713692946
1912,eu_transportation,AND,3.73,0.2,4,18.465227817745802
1913,lazega,AND,3.73,0.2,1,4.225352112676056
1914,er2,AND,3.73,0.2,12,99.4
1915,er3,AND,3.73,0.2,6,6.3
