,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
67,sf2,OR,1,0.7000000000000001,1,1.9,1.0,0.909090909090909,k_shell
68,sf3,OR,1,0.7000000000000001,2,2.7,1.0,1.7171717171717171,k_shell
69,sf5,OR,1,0.7000000000000001,2,4.9,1.0,3.93939393939394,k_shell
70,aucs,OR,1,0.8,0,1.639344262295082,1.639344262295082,0.0,k_shell
71,ckm_physicians,OR,1,0.8,1,1.6597510373443984,1.2448132780082988,0.4201680672268908,k_shell
72,eu_transportation,OR,1,0.8,7,92.32613908872902,1.1990407673860912,92.23300970873788,k_shell
73,lazega,OR,1,0.8,0,1.4084507042253522,1.4084507042253522,0.0,k_shell
74,er2,OR,1,0.8,0,1.0,1.0,0.0,k_shell
75,er3,OR,1,0.8,1,1.3,1.0,0.303030303030303,k_shell
76,er5,OR,1,0.8,1,1.2,1.0,0.202020202020202,k_shell
77,sf2,OR,1,0.8,1,1.9,1.0,0.909090909090909,k_shell
78,sf3,OR,1,0.8,2,2.6,1.0,1.616161616161616,k_shell
79,sf5,OR,1,0.8,2,4.8,1.0,3.8383838383838382,k_shell
80,aucs,OR,1,0.9,0,1.639344262295082,1.639344262295082,0.0,k_shell
81,ckm_physicians,OR,1,0.9,1,1.6597510373443984,1.2448132780082988,0.4201680672268908,k_shell
82,eu_transportation,OR,1,0.9,6,89.92805755395683,1.1990407673860912,89.80582524271844,k_shell
83,lazega,OR,1,0.9,0,1.4084507042253522,1.4084507042253522,0.0,k_shell
84,er2,OR,1,0.9,0,1.0,1.0,0.0,k_shell
85,er3,OR,1,0.9,1,1.3,1.0,0.303030303030303,k_shell
86,er5,OR,1,0.9,1,1.2,1.0,0.202020202020202,k_shell
87,sf2,OR,1,0.9,1,1.9,1.0,0.909090909090909,k_shell
88,sf3,OR,1,0.9,2,2.6,1.0,1.616161616161616,k_shell
89,sf5,OR,1,0.9,2,4.8,1.0,3.8383838383838382,k_shell
90,aucs,OR,2,0.1,3,100.0,3.278688524590164,100.0,k_shell
91,ckm_physicians,OR,2,0.1,3,68.46473029045643,2.0746887966804977,67.79661016949152,k_shell
92,eu_transportation,OR,2,0.1,4,100.0,2.158273381294964,100.0,k_shell
93,lazega,OR,2,0.1,2,100.0,2.8169014084507045,100.0,k_shell
94,er2,OR,2,0.1,3,100.0,2.0,100.0,k_shell
95,er3,OR,2,0.1,3,100.0,2.0,100.0,k_shell
96,er5,OR,2,0.1,2,100.0,2.0,100.0,k_shell
97,sf2,OR,2,0.1,3,79.9,2.0,79.48979591836735,k_shell
98,sf3,OR,2,0.1,3,87.8,2.0,87.55102040816327,k_shell
99,sf5,OR,2,0.1,3,98.8,2.0,98.77551020408164,k_shell
100,aucs,OR,2,0.2,3,100.0,3.278688524590164,100.0,k_shell
101,ckm_physicians,OR,2,0.2,3,68.46473029045643,2.0746887966804977,67.79661016949152,k_shell
102,eu_transportation,OR,2,0.2,5,100.0,2.158273381294964,100.0,k_shell
103,lazega,OR,2,0.2,5,100.0,2.8169014084507045,100.0,k_shell
104,er2,OR,2,0.2,5,100.0,2.0,100.0,k_shell
105,er3,OR,2,0.2,4,100.0,2.0,100.0,k_shell
106,er5,OR,2,0.2,3,100.0,2.0,100.0,k_shell
107,sf2,OR,2,0.2,3,79.9,2.0,79.48979591836735,k_shell
108,sf3,OR,2,0.2,3,87.8,2.0,87.55102040816327,k_shell
109,sf5,OR,2,0.2,3,98.8,2.0,98.77551020408164,k_shell
110,aucs,OR,2,0.3,5,100.0,3.278688524590164,100.0,k_shell
111,ckm_physicians,OR,2,0.3,4,68.46473029045643,2.0746887966804977,67.79661016949152,k_shell
112,eu_transportation,OR,2,0.3,6,100.0,2.158273381294964,100.0,k_shell
113,lazega,OR,2,0.3,1,4.225352112676056,2.8169014084507045,1.44927536231884,k_shell
114,er2,OR,2,0.3,7,100.0,2.0,100.0,k_shell
115,er3,OR,2,0.3,5,100.0,2.0,100.0,k_shell
116,er5,OR,2,0.3,4,100.0,2.0,100.0,k_shell
117,sf2,OR,2,0.3,4,79.9,2.0,79.48979591836735,k_shell
118,sf3,OR,2,0.3,4,87.8,2.0,87.55102040816327,k_shell
119,sf5,OR,2,0.3,3,98.8,2.0,98.77551020408164,k_shell
120,aucs,OR,2,0.4,13,100.0,3.278688524590164,100.0,k_shell
121,ckm_physicians,OR,2,0.4,7,68.46473029045643,2.0746887966804977,67.79661016949152,k_shell
122,eu_transportation,OR,2,0.4,8,100.0,2.158273381294964,100.0,k_shell
123,lazega,OR,2,0.4,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
124,er2,OR,2,0.4,4,3.9,2.0,1.9387755102040816,k_shell
125,er3,OR,2,0.4,12,100.0,2.0,100.0,k_shell
126,er5,OR,2,0.4,17,100.0,2.0,100.0,k_shell
127,sf2,OR,2,0.4,9,79.9,2.0,79.48979591836735,k_shell
